country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,0.255,,,,,0.162,,,0.116,,,,0.271,,,
Myanmar,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.168,,,,,,0.327,,,,0.37,,0.343,,,,0.41,,,0.46,,,,,,0.522,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409,,,0.289,,,,,,,,0.437,,,,,,,0.551,,,,,,0.561,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,0.024,,,,,0.068,,,,,0.151,,,,,,0.241,,,,0.285,,,,0.373,0.393,,,0.383,,0.48,,,,,0.497,,,0.496,,0.526,,
Netherlands,,,,,,,,,0.59,,,,,,0.75,,0.73,,,,,0.769,,,0.72,,,0.762,,,,,0.785,,,,,0.75,,,,,0.75,,,,,0.75,,,,,0.73,,,,,
New Zealand,,,,,,,,,,,,,,,,0.701,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,0.487,,,,,0.603,,,0.686,,,,,,0.724,,,,,0.804,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,,0.082,,0.14,,,,,,0.112,,,,0.18,,0.139,,,,0.169,0.11,
Nigeria,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,0.06,,,,0.134,,,,,0.153,,,,0.126,,,,0.147,0.146,,,0.141,0.135,0.151,,,0.204,0.134,0.276
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,,,,,0.62,0.673,,,,,0.686,,0.676,,0.691,,,,0.706,,,,0.782,,,,
North Macedonia,,,,,,,,,,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,0.402,,,,,,,
Norway,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,0.738,,,,,,,,,0.865,,,,,,,0.884,,,,,,,,,,,,,
